epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,13808.6,0.61611,0.56859,0.88535,0.90458,0.88998,0.91967,0.76668,0.7307,0.63669,0.90048,7.03262e-05,7.03262e-05,7.03262e-05
76,13990.6,0.59065,0.54074,0.87669,0.89747,0.88371,0.91372,0.7673,0.71611,0.64689,0.89648,6.77225e-05,6.77225e-05,6.77225e-05
77,14172.9,0.59744,0.54226,0.88055,0.89932,0.885,0.9153,0.76366,0.72428,0.65058,0.8979,6.51188e-05,6.51188e-05,6.51188e-05
78,14356.7,0.58943,0.53551,0.88135,0.90075,0.8932,0.91512,0.76259,0.7225,0.63705,0.89675,6.25151e-05,6.25151e-05,6.25151e-05
79,14537.8,0.60214,0.55153,0.87682,0.8892,0.89004,0.91518,0.76222,0.72545,0.65077,0.90017,5.99114e-05,5.99114e-05,5.99114e-05
80,14719,0.59454,0.54159,0.88156,0.89364,0.8836,0.91428,0.76091,0.72286,0.64321,0.89916,5.73077e-05,5.73077e-05,5.73077e-05
81,14901.9,0.59718,0.53603,0.88499,0.89328,0.87722,0.91153,0.7573,0.7276,0.64852,0.9003,5.4704e-05,5.4704e-05,5.4704e-05
82,15085.2,0.60209,0.53431,0.87967,0.89308,0.87656,0.91267,0.76491,0.71694,0.64994,0.89639,5.21003e-05,5.21003e-05,5.21003e-05
83,15269,0.59691,0.53408,0.88429,0.90176,0.87464,0.91726,0.76704,0.71906,0.63585,0.89728,4.94966e-05,4.94966e-05,4.94966e-05
84,15450.3,0.58561,0.52511,0.87654,0.89503,0.86907,0.91683,0.7701,0.71722,0.64212,0.89868,4.68929e-05,4.68929e-05,4.68929e-05
85,15631.8,0.57164,0.50955,0.87255,0.88326,0.87549,0.91308,0.76308,0.72106,0.65638,0.90089,4.42892e-05,4.42892e-05,4.42892e-05
86,15817.3,0.57451,0.51824,0.87397,0.89188,0.85455,0.91234,0.76171,0.73011,0.66742,0.90585,4.16855e-05,4.16855e-05,4.16855e-05
87,15999.2,0.57233,0.49725,0.87298,0.87779,0.88169,0.91513,0.76236,0.724,0.65777,0.90111,3.90818e-05,3.90818e-05,3.90818e-05
88,16181.2,0.58942,0.52851,0.87991,0.88454,0.87536,0.91804,0.76987,0.72461,0.63975,0.89959,3.64781e-05,3.64781e-05,3.64781e-05
89,16362.8,0.56838,0.49619,0.86794,0.90208,0.8665,0.91932,0.77164,0.72119,0.63661,0.89889,3.38744e-05,3.38744e-05,3.38744e-05
90,16545.1,0.57388,0.51468,0.86655,0.90147,0.87237,0.91979,0.77243,0.71476,0.6365,0.89603,3.12707e-05,3.12707e-05,3.12707e-05
91,16726.9,0.54718,0.4266,0.86206,0.89293,0.88582,0.91922,0.76918,0.71726,0.63169,0.89416,2.8667e-05,2.8667e-05,2.8667e-05
92,16906.9,0.54505,0.41721,0.86881,0.89449,0.89489,0.91762,0.76534,0.72364,0.62114,0.8966,2.60633e-05,2.60633e-05,2.60633e-05
93,17085.4,0.53448,0.40846,0.86015,0.89084,0.90063,0.91712,0.76791,0.72145,0.62369,0.89617,2.34596e-05,2.34596e-05,2.34596e-05
94,17265.7,0.53695,0.41045,0.8573,0.88905,0.89973,0.91876,0.77031,0.71912,0.625,0.89625,2.08559e-05,2.08559e-05,2.08559e-05
95,17446.5,0.52944,0.41209,0.86528,0.88544,0.90417,0.91654,0.76949,0.72024,0.62458,0.89718,1.82522e-05,1.82522e-05,1.82522e-05
96,17625.2,0.52961,0.40279,0.86247,0.88633,0.89472,0.91668,0.7658,0.7182,0.62737,0.89693,1.56485e-05,1.56485e-05,1.56485e-05
97,17804.3,0.52453,0.4035,0.85962,0.88448,0.89738,0.91629,0.76355,0.71811,0.62627,0.89649,1.30448e-05,1.30448e-05,1.30448e-05
98,17984.8,0.5163,0.3942,0.85311,0.88818,0.9046,0.91668,0.76942,0.7152,0.62008,0.89513,1.04411e-05,1.04411e-05,1.04411e-05
99,18164.5,0.5228,0.40084,0.86011,0.89002,0.90461,0.91738,0.76983,0.71373,0.61651,0.89468,7.8374e-06,7.8374e-06,7.8374e-06
100,18342.9,0.52218,0.39992,0.85333,0.89248,0.89937,0.91737,0.76805,0.71618,0.61795,0.89544,5.2337e-06,5.2337e-06,5.2337e-06
